Strategy,# Trades,Equity Final [$],Return [%],Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Sharpe Ratio
AAPL_Breakout_Simple,12,37516071.63,37416.1,8.3,7894951.2,-1251.9,657314.2,0.89
AAPL_BreakoutV2_As_Simple,12,37516071.63,37416.1,8.3,7894951.2,-1251.9,657314.2,0.89
AAPL_BreakoutV2_TrailingStop,131,3234849.19,3134.8,52.7,4497.6,-1717.1,309.9,0.92
AAPL_BreakoutV2_Full_Features,73,1263461.88,1163.5,30.1,10874.1,-1717.1,96.5,0.77
AAPL_BreakoutV2_25_NoStop_Pyramid,1,15145457.70,15045.5,100.0,1242701.7,1242701.7,1242701.7,0.86
AAPL_BreakoutV2_20_Trailingstop,26,31081164.98,30981.2,57.7,48361.5,-2057.9,4313.5,0.94
AAPL_TwoStdDev_MonthlyTrend_LowerBand_Trailing,1,24622479.74,24522.5,100.0,2452248.0,2452248.0,2452248.0,0.79
AAPL_TwoStdDev_YearlyTrend_LowerBand_Trailing,1,83677828.15,83577.8,100.0,8357782.8,8357782.8,8357782.8,1.05
AAPL_TwoStdDev_MonthlyTrend_LowerBand_Trailing_pyramiding50g_4,1,20361436.47,20261.4,100.0,1780519.7,1780519.7,1780519.7,0.87
AAPL_TwoStdDev_YearlyTrend_SMABand_Trailing,1,63595222.81,63495.2,100.0,6349522.3,6349522.3,6349522.3,0.99
AAPL_TwoStdDev_UpperBand_Trailing,1,66522147.80,66422.1,100.0,6642214.8,6642214.8,6642214.8,1.04
AAPL_TwoStdDev_SMA_Trailing_Pyramid,132,304524.46,204.5,44.7,2626.3,-1659.6,271.6,0.82
AAPL_TwoStdDev_SMA_Trailing_Pyramid_Hold_To_End,4,38574556.80,38474.6,50.0,455376.2,-5629.8,135173.0,0.97
ADBE_Breakout_Simple,13,2103584.12,2003.6,7.7,534598.6,-1286.8,40421.7,0.52
ADBE_BreakoutV2_As_Simple,13,2103584.12,2003.6,7.7,534598.6,-1286.8,40421.7,0.52
ADBE_BreakoutV2_TrailingStop,158,24917.76,-75.1,35.4,4425.3,-1883.7,-63.3,-0.25
ADBE_BreakoutV2_Full_Features,81,123624.23,23.6,16.0,3562.0,-1441.7,-332.9,0.13
ADBE_BreakoutV2_25_NoStop_Pyramid,1,2663046.09,2563.0,100.0,208980.1,208980.1,208980.1,0.53
ADBE_BreakoutV2_20_Trailingstop,32,718516.37,618.5,50.0,18690.7,-2781.0,1241.2,0.42
ADBE_TwoStdDev_MonthlyTrend_LowerBand_Trailing,1,3480039.63,3380.0,100.0,338004.0,338004.0,338004.0,0.56
ADBE_TwoStdDev_YearlyTrend_LowerBand_Trailing,1,2997052.85,2897.1,100.0,289705.3,289705.3,289705.3,0.57
ADBE_TwoStdDev_MonthlyTrend_LowerBand_Trailing_pyramiding50g_4,1,2833123.26,2733.1,100.0,238535.8,238535.8,238535.8,0.53
ADBE_TwoStdDev_YearlyTrend_SMABand_Trailing,1,2003243.51,1903.2,100.0,190324.4,190324.4,190324.4,0.52
ADBE_TwoStdDev_UpperBand_Trailing,1,2879349.70,2779.3,100.0,277935.0,277935.0,277935.0,0.61
ADBE_TwoStdDev_SMA_Trailing_Pyramid,133,171449.58,71.4,37.6,3163.3,-1577.5,64.2,0.37
ADBE_TwoStdDev_SMA_Trailing_Pyramid_Hold_To_End,6,846040.71,746.0,50.0,70308.2,-5258.1,11665.4,0.43
AMZN_Breakout_Simple,14,5252563.83,5152.6,7.1,1830581.5,-2686.5,129920.0,0.62
AMZN_BreakoutV2_As_Simple,14,5252563.83,5152.6,7.1,1830581.5,-2686.5,129920.0,0.62
AMZN_BreakoutV2_TrailingStop,158,163316.74,63.3,43.7,5217.3,-1529.9,60.1,0.20
AMZN_BreakoutV2_Full_Features,87,217300.54,117.3,21.8,4682.6,-2686.5,-239.1,0.30
AMZN_BreakoutV2_25_NoStop_Pyramid,1,2758618.75,2658.6,100.0,217640.9,217640.9,217640.9,0.65
AMZN_BreakoutV2_20_Trailingstop,39,451032.73,351.0,33.3,16522.8,-3181.0,1166.5,0.35
AMZN_TwoStdDev_MonthlyTrend_LowerBand_Trailing,1,4506098.25,4406.1,100.0,440609.8,440609.8,440609.8,0.56
AMZN_TwoStdDev_YearlyTrend_LowerBand_Trailing,1,8190835.63,8090.8,100.0,809083.6,809083.6,809083.6,0.70
AMZN_TwoStdDev_MonthlyTrend_LowerBand_Trailing_pyramiding50g_4,1,3874327.58,3774.3,100.0,345025.4,345025.4,345025.4,0.63
AMZN_TwoStdDev_YearlyTrend_SMABand_Trailing,1,24625608.82,24525.6,100.0,2452560.9,2452560.9,2452560.9,0.78
AMZN_TwoStdDev_UpperBand_Trailing,1,16155236.48,16055.2,100.0,1605523.6,1605523.6,1605523.6,0.75
AMZN_TwoStdDev_SMA_Trailing_Pyramid,145,273601.16,173.6,44.1,4273.9,-1728.4,235.9,0.65
AMZN_TwoStdDev_SMA_Trailing_Pyramid_Hold_To_End,9,4592683.84,4492.7,33.3,279203.7,-4296.2,30596.7,0.60
GOOGL_Breakout_Simple,1,4751053.32,4651.1,100.0,465105.3,465105.3,465105.3,0.80
GOOGL_BreakoutV2_As_Simple,1,4751053.32,4651.1,100.0,465105.3,465105.3,465105.3,0.80
GOOGL_BreakoutV2_TrailingStop,96,680808.43,580.8,53.1,4112.1,-1063.0,238.3,0.67
GOOGL_BreakoutV2_Full_Features,51,340403.43,240.4,27.5,4951.7,-1174.0,-56.5,0.51
GOOGL_BreakoutV2_25_NoStop_Pyramid,1,3603997.18,3504.0,100.0,287266.8,287266.8,287266.8,0.75
GOOGL_BreakoutV2_20_Trailingstop,14,2470860.93,2370.9,57.1,27550.0,-2531.6,4418.6,0.75
GOOGL_TwoStdDev_MonthlyTrend_LowerBand_Trailing,1,3049947.05,2949.9,100.0,294994.7,294994.7,294994.7,0.74
GOOGL_TwoStdDev_YearlyTrend_LowerBand_Trailing,1,1465018.16,1365.0,100.0,136501.8,136501.8,136501.8,0.68
GOOGL_TwoStdDev_MonthlyTrend_LowerBand_Trailing_pyramiding50g_4,1,2371931.18,2271.9,100.0,197707.1,197707.1,197707.1,0.69
GOOGL_TwoStdDev_YearlyTrend_SMABand_Trailing,1,1486990.13,1387.0,100.0,138699.0,138699.0,138699.0,0.64
GOOGL_TwoStdDev_UpperBand_Trailing,1,1601036.06,1501.0,100.0,150103.6,150103.6,150103.6,0.64
GOOGL_TwoStdDev_SMA_Trailing_Pyramid,79,223554.94,123.6,41.8,3143.3,-1517.3,292.9,0.79
GOOGL_TwoStdDev_SMA_Trailing_Pyramid_Hold_To_End,2,1639937.83,1539.9,100.0,104128.0,2669.8,53398.9,0.65
META_Breakout_Simple,4,1167470.53,1067.5,25.0,128916.8,-583.9,31806.9,0.75
META_BreakoutV2_As_Simple,4,1167470.53,1067.5,25.0,128916.8,-583.9,31806.9,0.75
META_BreakoutV2_TrailingStop,74,163763.05,63.8,37.8,4953.5,-1391.0,111.1,0.30
META_BreakoutV2_Full_Features,32,271587.77,171.6,34.4,4455.7,-1091.6,80.0,0.57
META_BreakoutV2_25_NoStop_Pyramid,1,1217288.67,1117.3,100.0,91877.1,91877.1,91877.1,0.77
META_BreakoutV2_20_Trailingstop,12,1167074.41,1067.1,58.3,19388.9,-3131.9,3822.5,0.81
META_TwoStdDev_MonthlyTrend_LowerBand_Trailing,1,1821718.73,1721.7,100.0,172171.9,172171.9,172171.9,0.84
META_TwoStdDev_YearlyTrend_LowerBand_Trailing,1,230232.84,130.2,100.0,13023.3,13023.3,13023.3,0.39
META_TwoStdDev_MonthlyTrend_LowerBand_Trailing_pyramiding50g_4,1,1451652.12,1351.7,100.0,107600.6,107600.6,107600.6,0.80
META_TwoStdDev_YearlyTrend_SMABand_Trailing,1,1389167.92,1289.2,100.0,128916.8,128916.8,128916.8,0.80
META_TwoStdDev_UpperBand_Trailing,1,1030151.25,930.2,100.0,93015.1,93015.1,93015.1,0.75
META_TwoStdDev_SMA_Trailing_Pyramid,58,154697.32,54.7,44.8,4192.5,-2877.6,231.7,0.62
META_TwoStdDev_SMA_Trailing_Pyramid_Hold_To_End,3,1290140.50,1190.1,66.7,46921.9,-5190.3,16688.3,0.84
MSFT_Breakout_Simple,15,1004740.03,904.7,6.7,264933.9,-1523.5,17018.9,0.51
MSFT_BreakoutV2_As_Simple,15,1004740.03,904.7,6.7,264933.9,-1523.5,17018.9,0.51
MSFT_BreakoutV2_TrailingStop,107,223603.19,123.6,46.7,2492.9,-1218.2,98.2,0.30
MSFT_BreakoutV2_Full_Features,58,212384.04,112.4,22.4,4818.7,-1230.7,-143.4,0.35
MSFT_BreakoutV2_25_NoStop_Pyramid,1,902123.16,802.1,100.0,66507.4,66507.4,66507.4,0.62
MSFT_BreakoutV2_20_Trailingstop,17,783761.34,683.8,35.3,63580.7,-2040.9,4063.2,0.47
MSFT_TwoStdDev_MonthlyTrend_LowerBand_Trailing,1,1138395.98,1038.4,100.0,103839.6,103839.6,103839.6,0.49
MSFT_TwoStdDev_YearlyTrend_LowerBand_Trailing,1,2206845.96,2106.8,100.0,210684.6,210684.6,210684.6,0.62
MSFT_TwoStdDev_MonthlyTrend_LowerBand_Trailing_pyramiding50g_4,1,979034.63,879.0,100.0,79832.1,79832.1,79832.1,0.63
MSFT_TwoStdDev_YearlyTrend_SMABand_Trailing,1,1854047.34,1754.0,100.0,175404.7,175404.7,175404.7,0.58
MSFT_TwoStdDev_UpperBand_Trailing,1,2096419.83,1996.4,100.0,199642.0,199642.0,199642.0,0.63
MSFT_TwoStdDev_SMA_Trailing_Pyramid,101,155897.92,55.9,34.7,2417.3,-1270.2,72.5,0.39
MSFT_TwoStdDev_SMA_Trailing_Pyramid_Hold_To_End,3,1598673.51,1498.7,33.3,179580.0,-4692.1,57033.2,0.65
NFLX_Breakout_Simple,5,30621984.04,30522.0,20.0,4776740.9,-1467.9,954505.7,0.77
NFLX_BreakoutV2_As_Simple,5,30621984.04,30522.0,20.0,4776740.9,-1467.9,954505.7,0.77
NFLX_BreakoutV2_TrailingStop,164,327866.25,227.9,43.9,4387.7,-1467.9,101.9,0.36
NFLX_BreakoutV2_Full_Features,102,172711.35,72.7,24.5,5030.0,-2629.0,-300.7,0.23
NFLX_BreakoutV2_25_NoStop_Pyramid,1,29590988.18,29491.0,100.0,2419030.4,2419030.4,2419030.4,0.76
NFLX_BreakoutV2_20_Trailingstop,40,17906409.17,17806.4,55.0,48194.3,-4200.4,2702.5,0.77
NFLX_TwoStdDev_MonthlyTrend_LowerBand_Trailing,1,41512305.91,41412.3,100.0,4141230.6,4141230.6,4141230.6,0.78
NFLX_TwoStdDev_YearlyTrend_LowerBand_Trailing,1,32243709.14,32143.7,100.0,3214370.9,3214370.9,3214370.9,0.80
NFLX_TwoStdDev_MonthlyTrend_LowerBand_Trailing_pyramiding50g_4,1,34971899.93,34871.9,100.0,3127767.2,3127767.2,3127767.2,0.78
NFLX_TwoStdDev_YearlyTrend_SMABand_Trailing,1,21777383.60,21677.4,100.0,2167738.4,2167738.4,2167738.4,0.76
NFLX_TwoStdDev_UpperBand_Trailing,1,27396782.61,27296.8,100.0,2729678.3,2729678.3,2729678.3,0.76
NFLX_TwoStdDev_SMA_Trailing_Pyramid,154,329400.31,229.4,48.7,6948.6,-4090.6,354.0,0.73
NFLX_TwoStdDev_SMA_Trailing_Pyramid_Hold_To_End,10,30730817.05,30630.8,40.0,202347.4,-5067.0,23726.6,0.80
NVDA_Breakout_Simple,4,31859375.27,31759.4,25.0,4770860.8,-2167.8,1191786.8,0.70
NVDA_BreakoutV2_As_Simple,4,31859375.27,31759.4,25.0,4770860.8,-2167.8,1191786.8,0.70
NVDA_BreakoutV2_TrailingStop,185,373210.94,273.2,43.2,4551.9,-1382.5,102.2,0.35
NVDA_BreakoutV2_Full_Features,91,3114173.11,3014.2,28.6,21645.1,-2621.5,241.9,0.82
NVDA_BreakoutV2_25_NoStop_Pyramid,1,39162250.10,39062.3,100.0,3111863.5,3111863.5,3111863.5,0.71
NVDA_BreakoutV2_20_Trailingstop,44,75041231.30,74941.2,47.7,22133.7,-2581.4,2672.7,0.87
NVDA_TwoStdDev_MonthlyTrend_LowerBand_Trailing,1,52613953.51,52514.0,100.0,5251395.4,5251395.4,5251395.4,0.74
NVDA_TwoStdDev_YearlyTrend_LowerBand_Trailing,1,33119047.11,33019.0,100.0,3301904.7,3301904.7,3301904.7,0.74
